product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,sale_price,price_tier,skuid,product_id,units_sold,search_term,category,revenue,market_share,group_size
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-12n9-4b-1/2090090-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,85 A,NA,NA,5.47,5.31,2.95,51-100sq.inch,NA,NA,NA,NA,12 volt,6.6,5.1-10pound,NA,Power Sport Battery,(10 reviews),3 MO FREE REPLACEMENT,50.99,51-100$,2090090,2090090,10,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,509.9,0.000115,NA
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16a-a/2090244-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,150 A,NA,NA,7.05,5.91,3.54,101-200sq.inch,NA,NA,NA,NA,12 volt,11.2,10.1-20pound,NA,Power Sport Battery,(27 reviews),3 MO FREE REPLACEMENT,65.99,51-100$,2090244,2090244,7,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,461.93,0.000104,NA
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-78-800-cca-78/16940022-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,78,800 A,1000 A,801-1000AMP,7.25,10.06,7.312,501-1000sq.inch,Side Right,Side Left,100 min,Side Mount,12 volt,39.54,20.1-40pound,NA,"Red Top Battery, Group Size 78, 800 CCA",(33 reviews),3 YR FREE REPLACEMENT,274.99,201-400$,16940022,16940022,16,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4399.84,0.00099,78
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-41-650-cca-41-2/2040352-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,41,650 A,813 A,801-1000AMP,6.937,11.562,6.937,501-1000sq.inch,Top Left,Top Right,110 min,Top Mount,12 volt,34.51,20.1-40pound,NA,"Battery, Group Size 41, 650 CCA",(20 reviews),2 YR FREE REPLACEMENT,159.99,101-200$,2040352,2040352,15,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,2399.85,0.00054,41
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-16al-a2/2090252-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,175 A,NA,NA,6.42,8.03,2.76,101-200sq.inch,NA,NA,NA,NA,12 volt,11.2,10.1-20pound,NA,Power Sport Battery,(8 reviews),3 MO FREE REPLACEMENT,71.99,51-100$,2090252,2090252,16,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1151.84,0.000259,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-8d-1100-cca-8dx24/2100088-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,8D,1100 A,1355 A,1001-1500AMP,9.812,20.75,11.125,>1000sq.inch,Top Left,Top Right,325 min,Top Mount,12 volt,123.74,>40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 8D, 1100 CCA",(7 reviews),12 MO FREE REPLACMENT,225.99,201-400$,2100088,2100088,19,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,4293.81,0.000966,8D
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-30l-b/16940008-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,300 A,NA,NA,6.93,6.61,5.2,201-500sq.inch,NA,NA,NA,NA,12 volt,18.7,10.1-20pound,NA,Power Sport Battery,(31 reviews),90 DAY REPLACEMENT IF DEFECTIVE,109.99,101-200$,16940008,16940008,10,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1099.9,0.000247,NA
DieHard HD Battery,DieHard,https://shop.advanceautoparts.com/p/diehard-hd-battery-heavy-duty-commercial-farm-battery-group-size-1-700-cca-1-30/11968151-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,1,700 A,875 A,801-1000AMP,9.375,9.125,7.125,501-1000sq.inch,Top Left,Top Right,150 min,Top Mount,6 volt,31.01,20.1-40pound,NA,"Heavy Duty Commercial & Farm Battery, Group Size 1, 700 CCA",(0 reviews),1 YR FREE REPLACEMENT,101.99,101-200$,11968151,11968151,56,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,5711.44,0.001284694,1
Optima,Optima,https://shop.advanceautoparts.com/p/optima-red-top-battery-group-size-1-800-cca-6v/16940018-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,1,800 A,1000 A,801-1000AMP,9.375,9.125,7.125,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,6 volt,31.01,20.1-40pound,NA,"Red Top Battery, Group Size 1, 800 CCA",(4 reviews),3 YR FREE REPLACEMENT,224.99,201-400$,16940018,16940018,1,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,224.99,5.06E-05,1
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-power-sport-battery-4l-b/2090198-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,NA,NA,50 A,NA,NA,3.62,4.72,2.76,1-50sq.inch,NA,NA,NA,NA,12 volt,3.3,2.1-5pound,NA,Power Sport Battery,(1 reviews),90 DAY REPLACEMENT IF DEFECTIVE,32.99,1-50$,2090198,2090198,1,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,32.99,7.42E-06,NA
