product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type
philtop engine air filter eaf015 replacement for accord l4 (2003-2007) tsx (2004-2008) compatible with ca9564 air filter protect engine & improves acceleration,https://www.amazon.com/PHILTOP-Replacement-2003-2007-Compatible-Acceleration/dp/B08MQ6T4TL/ref=sr_1_59?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-59,B08MQ6T4TL,PHILTOP,Filters,9.97,0-50$,184,1834,0.051904901390592874,NA,"CA9564, 17220-RAA-A00, 17220-RAA-A01, 17220-RBB-505, 17220-RBB-A00, CA9564",0.9,0-1pound,13.6 x 6.2 x 2 inches,101-200sq.inch,NA,air filter
philtop cabin air filter replacement for cp374 cf10374 be-374 tacoma dart vibe includes activated carbon pack of 1,https://www.amazon.com/PHILTOP-Filter-Replacement-CF10374-Activated/dp/B08MT1C4CS/ref=sr_1_60?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-60,B08MT1C4CS,PHILTOP,Filters,8.99,0-50$,547,4918,0.13918664396888536,NA,87139-YZZ09,0.31875,0-1pound,8.62 x 8.35 x 1.02 inches,51-100sq.inch,NA,air filter
philtop engine air filter replacement for ca10190 gp190 mt-190 corolla corolla im yaris matrix xd im vibe pack of 1,https://www.amazon.com/PHILTOP-Engine-Replacement-CA10190-Corolla/dp/B08MTQHH7H/ref=sr_1_61?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-61,B08MTQHH7H,PHILTOP,Filters,9.99,0-50$,725,7243,0.20498756857800665,NA,"17801-0D060, 17801-0T030, 17801-21050, 17801-YZZ05",0.35,0-1pound,14.06 x 10.2 x 2.44 inches,2011-500sq.inch,NA,air filter
ecogard xa3462 premium engine air filter fits ram 1500 5.7l 2011-2020 1500 3.6l 2013-2020 1500 classic 5.7l 2019-2020 2500 6.4l 2014-2018 2500 5.7l 2011-2019 1500 3.0l diesel 2014-2021,https://www.amazon.com/ECOGARD-XA3462-Premium-Engine-Filter/dp/B00AKEW0JU/ref=sr_1_62?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-62,B00AKEW0JU,ECOGARD,Filters,16.28,0-50$,476,7749,0.21930811389078742,XA3462,53032404 AA,0.9625,0-1pound,14.9 x 9.8 x 2 inches,2011-500sq.inch,China,air filter
airtechnik cf12237 cabin air filter w/activated carbon | fits nissan versa 2014-2019 versa note 2014-2019 micra 2015-2016,https://www.amazon.com/AirTechnik-CF12237-Activated-2014-2019-2015-2016/dp/B08MSYH772/ref=sr_1_63?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-63,B08MSYH772,AirTechnik,Filters,13.09,0-50$,103,1348,0.03815038553681527,NA,"27277-1KK0A, CF12237",0.3125,0-1pound,9.17 x 8.82 x 0.94 inches,51-100sq.inch,NA,air filter
epauto cp846 (cf9846a) replacement for subaru/toyota premium cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-CF9846A-Replacement-Premium-Activated/dp/B014TZ3XBO/ref=sr_1_67?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-67,B014TZ3XBO,EPAUTO,Filters,7.97,0-50$,1033,8233,0.23300602679866472,NA,"63210-AG000, 63210-AG001, 72880-AG00A, 72880-AG01A, 72880-XA00A, 800005P",0.02,0-1pound,8.7 x 8.62 x 1.1 inches,51-100sq.inch,NA,air filter
ecogard xc10491 premium cabin air filter fits ford f-150 2015-2021 f-250 super duty diesel 2017-2021 f-250 super duty 2017-2021 f-350 super duty diesel 2017-2021 expedition 2018-2021,https://www.amazon.com/ECOGARD-XC10491-Premium-Cabin-Filter/dp/B01MY4RH80/ref=sr_1_68?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-68,B01MY4RH80,ECOGARD,Filters,15.8,0-50$,649,10254,0.2902033036309375,XC10491,FL3Z-19N619A,0.21,0-1pound,1.58 x 8.07 x 10.24 inches,101-200sq.inch,China,air filter
3/8' universal fuel filters industrial tractors cars trucks motorcycles gas powered engine inline gas fuel line 5 pack,https://www.amazon.com/Universal-Filters-Industrial-Tractors-Motorcycles/dp/B093L27DZD/ref=sr_1_69?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-69,B093L27DZD,JahyShow,Filters,12.99,0-50$,433,5625,0.15919578534464826,NA,NA,0.39375,0-1pound,6.81 x 6.77 x 2.56 inches,101-200sq.inch,NA,fuel filter
fram extra guard air filter ca11895 for select toyota vehicles,https://www.amazon.com/nobrandname-CA11895-FRAM-Air-Filter/dp/B01KW1ZL2S/ref=sr_1_70?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-70,B01KW1ZL2S,Fram,Filters,14.97,0-50$,1175,17590,0.49782290919330896,"FRAM Extra Guard Air Filter CA11895, for Select Toyota Vehicles",NA,1.06,1.1-2pound,11.75 x 10.24 x 2.3 inches,2011-500sq.inch,Mexico,air filter
puroma 2 pack cabin air filter with activated charcoal layer replacement for cp182 cf11182 honda 80291-t5r-a01 80291-tf0-405 80291-tf0-e01 80292-tba-a11 80292-tf0-g01 80292-tgl-e0,https://www.amazon.com/Puroma-80291-T5R-A01-80291-TF0-405-80291-TF0-E01-80292-TBA-A11/dp/B0874Q4G4H/ref=sr_1_71?dchild=1&keywords=Filters&qid=1633502830&s=automotive&sr=1-71,B0874Q4G4H,Puroma,Filters,13.85,0-50$,739,10235,0.28966557564488443,NA,"80291-T5R-A01, 80291-TF0-405, 80291-TF0-E01, 80292-TGL-E01, 80292-TBA-A11, 80292-TF0-G01",1.05,1.1-2pound,8.6 x 8.4 x 2.6 inches,101-200sq.inch,NA,air filter
