title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type,,
gooloo jump starter battery pack - 1500a peak jump boxwater-resistant car battery booster for up to 8.0l gas or 6.0l diesel engines12v car jumper starter portable with qc 3.0type c port,https://www.amazon.com/GOOLOO-SuperSafe-Starter-Portable-Resistant/dp/B08CC1GYR1/ref=sr_1_27?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-27&ts_id=387679011,B08CC1GYR1,GOOLOO,Jump Sarter,69.99,51-100$,1479,103515,0.545509045337301,Car Jump Starter,,2.57,2.1-5pound,7.4 x 3.66 x 1.39 inches,1-50sq.inch,1500 Amps,>500AMP,12 Volts,,"ATV, UTV, Dirt Bike, Snowmobile, Adventure, Personal Watercraft",portable,,
halo bolt 58830 mwh portable phone laptop charger car jump starter with ac outlet and car charger - silver graphite (1267118),https://www.amazon.com/Portable-Laptop-Charger-Starter-Outlet/dp/B0829FTQVF/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-28&ts_id=387679011,B0829FTQVF,Halo,Jump Sarter,99.99,51-100$,2340,233977,1.2330248746644,,,2.86,2.1-5pound,7.2 x 3.8 x 1.6 inches,1-50sq.inch,,,,China,,portable,,
schumacher rechargeable agm jump starter for gas diesel vehicles - 1200 amps with air compressor and ac 12v dc usb power station,https://www.amazon.com/Schumacher-SJ1332-Jump-Starter/dp/B07892JQ1Q/ref=sr_1_29?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-29&ts_id=387679011,B07892JQ1Q,Schumacher,Jump Sarter,149.99,101-200$,1103,165439,0.871839549355723,SJ1332,,19.16,10.1-20pound,14 x 13 x 13 inches,>1000sq.inch,1200 Amps,>500AMP,120 Volts,Mexico,Passenger Car,non portable,,
acetek 1200 amp car jump starter portable battery charger 20000mah emergency supply power pack (up to 6l gas or 6l diesel engine) 12v auto lead-acid battery booster with led light & usb ports,https://www.amazon.com/Starter-Emergency-20000mAh-Portable-Lead-acid/dp/B083JZS6L4/ref=sr_1_30?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-30&ts_id=387679011,B083JZS6L4,acetek,Jump Sarter,129.99,101-200$,351,45626,0.240442406439257,,,17.4,10.1-20pound,10 x 5 x 11 inches,501-1000sq.inch,1200 Amps,>500AMP,12 Volts,,"Passenger Car, Motorcycle, SUV",portable,,
halo bolt compact portable car jump starter - car battery jump starter with 2 usb ports to charger devices portable car charger - gold marble,https://www.amazon.com/HALO-Bolt-Compact-Portable-Starter/dp/B088VSMF7Z/ref=sr_1_27?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-27&ts_id=387679011,B088VSMF7Z,Halo,Jump Sarter,75.13,51-100$,660,49586,0.261311032431004,,,1.14,1.1-2pound,6.1 x 3.35 x 1.46 inches,1-50sq.inch,,,,China,,portable,,
clore automotive jump-n-carry jnc660 1700 peak amp 12 volt jump starter  blue,https://www.amazon.com/Clore-Automotive-Jump-N-Carry-JNC660-Starter/dp/B000JFJLP6/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-28&ts_id=387679011,B000JFJLP6,Clore Automotive,Jump Sarter,148.02,101-200$,4347,643443,3.39085134192116,1700 Peak Amp 12 Volt Jump Starter,,18,10.1-20pound,16.3 x 14.1 x 5.1 inches,>1000sq.inch,1700 Amps,>500AMP,12 Volts,China,Passenger Car,non portable,,
biuble car battery starter 1000a peak 12800mah 12v car auto jump starter power pack with usb quick charge 3.0 (up to 7l gas or 5.5l diesel engine) (1000a),https://www.amazon.com/BIUBLE-Battery-Starter-12800mAh-Charge/dp/B08GYFP5JK/ref=sr_1_29?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-29&ts_id=387679011,B08GYFP5JK,BIUBLE,Jump Sarter,42.99,0-50$,1071,46042,0.2426346661394,,,1.76,1.1-2pound,6.69 x 3.15 x 1.18 inches,1-50sq.inch,1000 Amps,>500AMP,12 Volts,,Passenger Car,non portable,,
car jump starter  2000a jump box 20000mah for up to 10l gas and 5.5l diesel engines 12v car battery charger jump starter with usb/type c quick charge portable power bank with led display and light,https://www.amazon.com/Car-Jump-Starter-20000mAh-Portable/dp/B096LW1638/ref=sr_1_30?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-30&ts_id=387679011,B096LW1638,Lurxay,Jump Sarter,69.99,51-100$,333,23307,0.122824511613548,,,2.68,2.1-5pound,10.94 x 5.87 x 4.37 inches,2011-500sq.inch,2000 Amps,>500AMP,,,Passenger Car,portable,,
fanttik t8 apex jump starter 2000 amp portable jump starter for up to 8.5l gas and 6l diesel engines digital screen 65w two-way fast charging 12v car battery booster,https://www.amazon.com/dp/B09CTJMLQP,B09CTJMLQP,Fanttik,Jump Sarter,129.97,101-200$,1613,209642,1.10478295206108,T8 APEX,,4.6,2.1-5pound,9.21 x 3.74 x 1.77 inches,51-100sq.inch,2000 Amps,>500AMP,12 Volts,,Passenger Car,portable,,
booster pac es5000 1500 peak amp 12v jump starter,https://www.amazon.com/Booster-ES5000-1500-Peak-Starter/dp/B000JFHNQA/ref=sr_1_32?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-32&ts_id=387679011,B000JFHNQA,Clore Automotive,Jump Sarter,127.24,101-200$,1313,167066,0.880413603519504,,,18,10.1-20pound,18.3 x 11.4 x 4.4 inches,501-1000sq.inch,1500 Amps,>500AMP,12 Volts,,,non portable,,
suhu car battery charger 12v/8a 24v/4a smart automatic battery charger maintainer trickle charger for car truck motorcycle lawn mower boat marine rv suv atv sla wet agm gel cell lead acid battery,https://www.amazon.com/SUHU-Battery-Automatic-Automotive-Motorcycle/dp/B08GRRRNCK/ref=sr_1_33?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633486070&s=automotive&sr=1-33&ts_id=387679011,B08GRRRNCK,SUHU,Jump Sarter,29.99,0-50$,1476,44265,0.233270133718356,,,1.23,1.1-2pound,9.06 x 5.12 x 2.36 inches,101-200sq.inch,8,0-20AMP,,,,non portable,,
