product_title,count_of_reviews,product_url,part_number,product_description,center_electrode_core_material,center_electrode_tip_material,electrical_terminal_type,ground_electrode_core_material,ground_electrode_quantity,ground_electrode_tip_design,ground_electrode_tip_material,hex_size,pre_gap_size,reach,resistance,resistor_type,seat_type,thread_diameter,electrode_core_material,electrode_tip_material,ground_configuration,manufacturer_heat_range,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
NGK Iridium IX Spark Plug,No Reviews,https://shop.advanceautoparts.com/p/ngk-iridium-ix-spark-plug-93501/12102020-P?searchTerm=Spark%20Plugs,Part # 93501,[],Copper Core,Iridium,NA,NA,1,Taper Cut,NA,14 mm,.044 in,26.5 in,NA,NA,Flat,12.00 mm,NA,NA,Standard,7,12102020,738,Iridium IX Spark Plug,(0 reviews),60 DAY REPLACEMENT IF DEFECTIVE,10.29,11-20$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,7594.02,0.032547826
E3 Premium DiamondFIRE Electrode Automotive Spark Plug,50 reviews,https://shop.advanceautoparts.com/p/e3-premium-diamondfire-electrode-automotive-spark-plug-e3.56/15650142-P?searchTerm=Spark%20Plugs,Part # E3.56,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750 in,NA,NA,Gasket,14 mm,Copper,Nickle,NA,NA,15650142,96,Premium DiamondFIRE Electrode Automotive Spark Plug,(50 reviews),5 YR REPLACEMENT IF DEFECTIVE,7.19,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,690.24,0.002958356
E3 Premium DiamondFIRE Electrode Automotive Spark Plug,58 reviews,https://shop.advanceautoparts.com/p/e3-premium-diamondfire-electrode-automotive-spark-plug-e3.70/10427066-P?searchTerm=Spark%20Plugs,Part # E3.70,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10427066,166,Premium DiamondFIRE Electrode Automotive Spark Plug,(58 reviews),5 YR REPLACEMENT IF DEFECTIVE,11.99,11-20$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1990.34,0.00853056
Motorcraft Spark Plug (AGSF32PM),234 reviews,https://shop.advanceautoparts.com/p/motorcraft-spark-plug-agsf32pm-sp-493/18090025-P?searchTerm=Spark%20Plugs,Part # SP-493,[],Copper core,NA,NA,Nickel alloy,NA,NA,NA,05-Aug,NA,0.679 in,NA,NA,Tapered,14 mm,Platinum alloy,Platinum ball,NA,4,18090025,524,Spark Plug (AGSF32PM),(234 reviews),2 YR REPLACEMENT IF DEFECTIVE,3.99,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2090.76,0.008960958
NGK Ruthenium HX Spark Plug,No Reviews,https://shop.advanceautoparts.com/p/ngk-ruthenium-hx-spark-plug-96358/12069665-P?searchTerm=Spark%20Plugs,Part # 96358,[],Copper Core,Ruthenium,NA,Nickel Core,1,DFE,NA,5/8 in,.044 in,26.5 in,5000 Ohms,NA,Flat,12.00 mm,NA,NA,Standard,7,12069665,506,Ruthenium HX Spark Plug,(0 reviews),60 DAY REPLACEMENT IF DEFECTIVE,14.29,11-20$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,7230.74,0.030990815
NGK Laser Iridium Spark Plug (ILZKR7B-11S),68 reviews,https://shop.advanceautoparts.com/p/ngk-laser-iridium-spark-plug-ilzkr7b-11s-5787/11000324-P?searchTerm=Spark%20Plugs,Part # 5787,[],Copper Core,Iridium,NA,Nickel Core,1,Standard,NA,5/8 in,NA,26.5 mm,NA,NA,Gasket,12 mm,NA,NA,Standard,7,11000324,269,Laser Iridium Spark Plug (ILZKR7B-11S),(68 reviews),60 DAY REPLACEMENT IF DEFECTIVE,17.29,11-20$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,4651.01,0.019934141
Denso Spark Plug Iridium Long-Life (SK20R11),231 reviews,https://shop.advanceautoparts.com/p/denso-spark-plug-iridium-long-life-sk20r11-3297/20650324-P?searchTerm=Spark%20Plugs,Part # 3297,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,3/4 in,NA,NA,Gasket,14 mm,Copper,0.7mm Iridium,NA,20,20650324,785,Spark Plug Iridium Long-Life (SK20R11),(231 reviews),1 YR REPLACEMENT IF DEFECTIVE,9.99,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,7842.15,0.033611306
NGK G-Power Platinum Spark Plug (TR55GP),131 reviews,https://shop.advanceautoparts.com/p/ngk-g-power-platinum-spark-plug-tr55gp-3403/18090136-P?searchTerm=Spark%20Plugs,Part # 3403,[],Copper Core,Platinum,NA,Nickel Core,1,Trapezoid,NA,5/8 in,NA,17.5 mm,NA,NA,Tapered,14 mm,Platinum,Platinum,Standard,5,18090136,387,G-Power Platinum Spark Plug (TR55GP),(131 reviews),60 DAY REPLACEMENT IF DEFECTIVE,4.49,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1737.63,0.007447449
NGK Standard Spark Plug (BPR6ES SOLID),8 reviews,https://shop.advanceautoparts.com/p/ngk-standard-spark-plug-bpr6es-solid-4008/18090163-P?searchTerm=Spark%20Plugs,Part # 4008,[],Copper Core,Nickel,NA,Nickel Core,1,Standard,NA,13/16 in,NA,19 mm,NA,NA,Gasket,14 mm,nickel,nickel,Standard,6,18090163,407,Standard Spark Plug (BPR6ES SOLID),(8 reviews),60 DAY REPLACEMENT IF DEFECTIVE,3.29,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1339.03,0.005739057
NGK Iridium IX Spark Plug (BKR5EIX-11),216 reviews,https://shop.advanceautoparts.com/p/ngk-iridium-ix-spark-plug-bkr5eix-11-5464/15650078-P?searchTerm=Spark%20Plugs,Part # 5464,[],Copper Core,Iridium,NA,Nickel Core,1,Taper Cut,NA,05-Aug,NA,19 mm,NA,NA,Gasket,14 mm,Iridium,Iridium,Standard,5,15650078,702,Iridium IX Spark Plug (BKR5EIX-11),(216 reviews),60 DAY REPLACEMENT IF DEFECTIVE,8.99,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6310.98,0.027048741
Autolite Double Platinum Spark Plug,82 reviews,https://shop.advanceautoparts.com/p/autolite-double-platinum-spark-plug-app5325/20650247-P?searchTerm=Spark%20Plugs,Part # APP5325,[],Platinum,Platinum,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,26.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,20650247,369,Double Platinum Spark Plug,(82 reviews),5 YR REPLACEMENT IF DEFECTIVE,5.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2136.51,0.009157041
Autolite Single Platinum Spark Plug,175 reviews,https://shop.advanceautoparts.com/p/autolite-single-platinum-spark-plug-ap5263/15650224-P?searchTerm=Spark%20Plugs,Part # AP5263,[],Platinum,Platinum,Stud,Nickel,1,Tapered,Nickel,16 mm,1 mm,25 mm,4000,Yes,Tapered,14 mm,NA,NA,NA,NA,15650224,474,Single Platinum Spark Plug,(175 reviews),4 YR REPLACEMENT IF DEFECTIVE,3.99,1-5$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1891.26,0.008105905
