product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type
odyssey pc1200 automotive light truck battery,https://www.amazon.com/Odyssey-PC1200-Automotive-Light-Battery/dp/B001BDIWPA/ref=sr_1_30?dchild=1&qid=1633495512&s=automotive&sr=1-30,B001BDIWPA,ODYSSEY,Batteries,289.46,201-400$,90,26051,0.7624557214617632,PC1200,PC1200,26.3,20.1-40pound,1 x 1 x 1 inches,1-50sq.inch,NA,NA,12 Volts,NA,Light Truck
yuasa yuam229by yb9-b battery,https://www.amazon.com/Yuasa-YUAM229BY-YB9-B-Battery/dp/B000GZRAZW/ref=sr_1_31?dchild=1&qid=1633495512&s=automotive&sr=1-31,B000GZRAZW,Yuasa,Batteries,43.4,0-50$,46,1996,0.05841854900148476,YUAM229BY,NA,5.4,5.1-10pound,6 x 5.3 x 4.2 inches,101-200sq.inch,NA,NA,12 Volts,Taiwan,Scooter
yuasa yuam716ghl lead_acid_battery,https://www.amazon.com/Yuasa-YUAM716GHL-lead_acid_battery/dp/B00JAXXDCK/ref=sr_1_32?dchild=1&qid=1633495512&s=automotive&sr=1-32,B00JAXXDCK,Yuasa,Batteries,104.23,101-200$,56,5837,0.17083620767618563,YUAM716GHL,NA,6.36,5.1-10pound,5.91 x 3.43 x 5.71 inches,101-200sq.inch,NA,NA,12 Volts,USA,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
yuasa yuam720gh gyz20hl battery,https://www.amazon.com/Yuasa-YUAM720GH-Lead_Acid_Battery/dp/B003RF5AWI/ref=sr_1_33?dchild=1&qid=1633495512&s=automotive&sr=1-33,B003RF5AWI,Yuasa,Batteries,136.49,101-200$,64,8735,0.2556543214067983,YUAM720GH,YUAM720GH,15.62,10.1-20pound,6.89 x 3.43 x 6.1 inches,101-200sq.inch,NA,NA,12 Volts,USA,NA
acdelco gold atz10sbs 12 month warranty powersports agm jis 10s-bs battery,https://www.amazon.com/ACDelco-ATZ10SBS-Specialty-Powersports-Battery/dp/B00BFLVVU6/ref=sr_1_34?dchild=1&qid=1633495512&s=automotive&sr=1-34,B00BFLVVU6,ACDelco,Batteries,49.59,0-50$,40,1984,0.05806733528003294,NA,88863888,7.3,5.1-10pound,6.8 x 6.2 x 6 inches,2011-500sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
acdelco gold atx30lbsa 12 month warranty powersports agm jis 30cl-b-bsa battery,https://www.amazon.com/ACDelco-ATX30LBSA-Specialty-Powersports-30CL-B-BSA/dp/B01BYBPWYM/ref=sr_1_35?dchild=1&qid=1633495512&s=automotive&sr=1-35,B01BYBPWYM,ACDelco,Batteries,105.4,101-200$,45,4743,0.13881722340382874,NA,88865573,17.2,10.1-20pound,10 x 8.4 x 7.8 inches,501-1000sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
power-sonic (ptz7s) sealed maintenance free powersport battery,https://www.amazon.com/Power-Sonic-PTZ7S-Maintenance-Powersport-Battery/dp/B00I1KMO14/ref=sr_1_36?dchild=1&qid=1633495512&s=automotive&sr=1-36,B00I1KMO14,Power-Sonic,Batteries,58.78,51-100$,30,1763,0.0515991492432954,PTZ7S,NA,3.1,2.1-5pound,5 x 4.5 x 3 inches,51-100sq.inch,6 Amps,0-20AMP,12 Volts,China,"Street-touring-motorcycles, ATV, Street-sport-motorcycles, Off Road Motorcycle, Scooter, Street-cruiser-motorcycles, Snowmobile, Personal Watercraft"
motobatt mb9u (12v 11 amp) 140cca factory activated quadflex agm battery,https://www.amazon.com/MotoBatt-MB9U-Lead_Acid_Battery/dp/B0042LLB88/ref=sr_1_37?dchild=1&qid=1633495512&s=automotive&sr=1-37,B0042LLB88,MotoBatt,Batteries,70.84,51-100$,30,2125,0.062194096507091734,NA,"12N7-3A 12N7-3B 12N7-4A 12N7-4B, 12N7D-3B 12N9-3A 12N9-3A-1 12N9-3B, 12N9-4B-1 YB7-A YB7AA YB7L-A YB7L-B, YB9A YB9A-A YB9A2 YB9-B YB9B2, YB9L-A2 YB9L-B2 YB9L-B",7.4,5.1-10pound,5.35 x 2.99 x 5.24 inches,51-100sq.inch,11 amp,0-20AMP,12 Volts,NA,NA
xs power d5100 xs series 12v 3100 amp agm high output battery with m6 terminal bolt black,https://www.amazon.com/XS-Power-D5100-Battery-Terminal/dp/B005FYJD2M/ref=sr_1_38?dchild=1&qid=1633495512&s=automotive&sr=1-38,B005FYJD2M,XS Power,Batteries,282.04,201-400$,30,8461,0.2476349414336486,D5100,D5100,41,>40pound,12 x 11.5 x 8 inches,>1000sq.inch,3100 amp,>500AMP,12 Volts,NA,NA
yuasa yuam2612d 6n12a-2d battery,https://www.amazon.com/Yuasa-YUAM2612D-Lead_Acid_Battery/dp/B000GZRB10/ref=sr_1_39?dchild=1&qid=1633495512&s=automotive&sr=1-39,B000GZRB10,Yuasa,Batteries,36.49,0-50$,30,1095,0.032048252082477864,YUAM2612D,NA,3.8,2.1-5pound,7.1 x 5.2 x 3.2 inches,101-200sq.inch,NA,NA,6 Volts,Taiwan,Street Bike
