product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-51r-435-cca-51r-agm/11920918-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,51R,435 A,540 A,>500AMP,8.75,9.375,5.06,201-500sq.inch,Top Left,Top Right,75 min,Top Mount,12.0 VDC,27.0,20.1-40pound,41.0 Ah,"Battery, Group Size 51R, 435 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,209.99,11920918,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,17,209.99,201-400$,3569.83,0.006634119
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-24-600-cca-24ft-5/11018022-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,24,600 A,750 A,>500AMP,8.875,10.25,6.812,501-1000sq.inch,Top Right,Top Left,110 min,Top Mount,12.0 VDC,37.5,20.1-40pound,,"Battery, Group Size 24, 600 CCA",(42 reviews),2 YR FREE REPLACEMENT,159.99,11018022,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,23,159.99,101-200$,3679.77,0.006838429
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-58-550-cca-58-2/2040360-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,58,550 A,665 A,>500AMP,6.937,10.06,7.187,501-1000sq.inch,Top Right,Top Left,80 min,Top Mount,12.0 VDC,28.09,20.1-40pound,,"Battery, Group Size 58, 550 CCA",(118 reviews),2 YR FREE REPLACEMENT,159.99,2040360,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,24,159.99,101-200$,3839.76,0.0071357519999999995
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-27-810-cca-27-3/2040131-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,27,810 A,1000 A,>500AMP,8.875,12.06,6.812,501-1000sq.inch,Top Right,Top Left,140 min,Top Mount,12.0 VDC,48.6,>40pound,,"Battery, Group Size 27, 810 CCA",(138 reviews),2 YR FREE REPLACEMENT,159.99,2040131,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,7,159.99,101-200$,1119.93,0.002081261
DieHard Silver,DieHard,https://shop.advanceautoparts.com/p/diehard-silver-battery-group-size-26-525-cca-26-3/2040328-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,26,525 A,655 A,>500AMP,7.75,8.187000000000001,6.812,201-500sq.inch,Top Right,Top Left,60 min,Top Mount,12.0 VDC,27.9,20.1-40pound,,"Battery, Group Size 26, 525 CCA",(114 reviews),2 YR FREE REPLACEMENT,159.99,2040328,2 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,24,159.99,101-200$,3839.76,0.0071357519999999995
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-96r-590-cca-96r-agm/12102917-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,96R,590 A,735 A,>500AMP,7.0,7.0,9.5,201-500sq.inch,Top Left,Top Right,80 min,Top Mount,12.0 VDC,31.0,20.1-40pound,45.0 Ah,"Battery, Group Size 96R, 590 CCA",(0 reviews),3 YR REPLACEMENT IF DEFECTIVE,209.99,12102917,3 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,9,209.99,201-400$,1889.91,0.00351218
DieHard Platinum,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-battery-group-size-h5-650-cca-810-ca-100-rc-47h5-rp/12495887-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,H5,650 A,810 A,>500AMP,7.4,9.5,6.9,201-500sq.inch,Top Left,Top Right,100 min,Top Mount,12 VDC,35.0,20.1-40pound,,"Battery, Group Size H5, 650 CCA, 810 CA, 100 RC",(0 reviews),4 YR REPLACEMENT IF DEFECTIVE,199.99,12495887,4 YR REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,7,199.99,101-200$,1399.93,0.002601609
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-s46b24r-410-cca-s46b24r/10700314-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,410 A,510 A,>500AMP,8.937000000000001,9.312000000000001,5.06,201-500sq.inch,Top Right,Top Left,75 min,Top Mount,12.0 VDC,26.0,20.1-40pound,41.0 Ah,"Battery, Group Size S46B24R, 410 CCA",(20 reviews),3 YR FREE REPLACEMENT,209.99,10700314,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,9,209.99,201-400$,1889.91,0.00351218
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h9-950-cca-h9-agm/10866724-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,950 A,1000 A,>500AMP,7.5,15.562000000000001,6.937,501-1000sq.inch,Top Left,Top Right,190 min,Top Mount,12.0 VDC,65.4,>40pound,100 Ah,"Battery, Group Size H9, 950 CCA",(3 reviews),3 YR FREE REPLACEMENT,209.99,10866724,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,1,209.99,201-400$,209.99,0.00039024199999999995
DieHard Powersports,DieHard,https://shop.advanceautoparts.com/p/diehard-powersports-powersports-battery-group-size-btx14ah-bs-210-cca-tx14ah/16940012-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,210 A,,,6.437,5.25,3.562,101-200sq.inch,Top Right,Top Left,,Top Mount,12.0 VDC,10.69,10.1-20pound,12.0 Ah,"Powersports Battery, Group Size BTX14AH-BS, 210 CCA",(50 reviews),90 DAY REPLACEMENT IF DEFECTIVE,89.99,16940012,90 DAY REPLACEMENT IF DEFECTIVE,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,50,89.99,51-100$,4499.5,0.008361803000000001
