title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin
autolite xp5263-4pk iridium xp spark plug pack of 4,https://www.amazon.com/Autolite-XP5263-4PK-Iridium-Spark-Plug/dp/B009J5AS90/ref=sr_1_30?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-30,B009J5AS90,Autolite,spark plug,17.03,0-50$,420,7153,0.603769826364475,XP5263-4PK,,0.4875,0-1pound,4.21 x 3.82 x 1.14 inches,1-50sq.inch,Mexico
atlin thin wall spark plug socket 12-point 14-millimeters compatible with bmw nissan mini,https://www.amazon.com/ATLIN-Socket-12-Point-14-millimeters-Compatible/dp/B01MXJ3X7P/ref=sr_1_27?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-27,B01MXJ3X7P,ATLIN,spark plug,14.95,0-50$,712,10644,0.898437862690266,,,0.13125,0-1pound,2.5 x 0.72 x 0.72 inches,1-50sq.inch,
acdelco 41-993 professional iridium spark plug (pack of 4),https://www.amazon.com/ACDelco-41-993-Professional-Iridium-Spark/dp/B075XWYMYD/ref=sr_1_28?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-28,B075XWYMYD,ACDelco,spark plug,12.75,0-50$,380,4845,0.408956355198642,ACDelco,19256067,0.1,0-1pound,5.43 x 3.31 x 0.98 inches,1-50sq.inch,USA
autolite app5325-4pk double platinum spark plug pack of 4,https://www.amazon.com/Autolite-APP5325-4PK-Double-Platinum-Spark/dp/B076C92MY5/ref=sr_1_29?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-29,B076C92MY5,Autolite,spark plug,19.04,0-50$,267,5084,0.429129847230112,APP5325-4PK,,0.5,0-1pound,4.3 x 3.6 x 1.2 inches,1-50sq.inch,Mexico
4 pcsnew -- ngk 5018 g-power platinum spark plugs lfr5agp,https://www.amazon.com/NGK-G-Power-Platinum-Spark-LFR5AGP/dp/B00KEYZIGS/ref=sr_1_25?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-25,B00KEYZIGS,NGK,spark plug,19.99,0-50$,156,3118,0.263183883490065,,,0.000625,0-1pound,3.7 x 0.94 x 3.32 inches,1-50sq.inch,
(6-pack) ngk spark plugs tr55 (stock  3951),https://www.amazon.com/6-Pack-NGK-Spark-Plugs-3951/dp/B082DQ7GPK/ref=sr_1_26?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-26,B082DQ7GPK,NGK,spark plug,14.06,0-50$,893,12556,1.05982579894203,,,0.6,0-1pound,6.77 x 4.33 x 1.38 inches,1-50sq.inch,
bosch 6717 platinum spark plug for select american motors chrysler dodge eagle jeep and plymouth cars trucks and suvs (pack of 4),https://www.amazon.com/Bosch-6717-Platinum-Spark-Plug/dp/B06XC9P67Y/ref=sr_1_27?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-27,B06XC9P67Y,Bosch Automotive,spark plug,3.64,0-50$,140,510,0.043048037389331,Bosch,,0.43125,0-1pound,5.16 x 3.5 x 1.06 inches,1-50sq.inch,Germany
qyl ignition coil uf549 & spark plug 9029 replacement for nv200 cube sentra versa 1.6l 1.8l 2.0l l4 (set of 4),https://www.amazon.com/QYL-Ignition-Replacement-Nissan-Sentra/dp/B07Q1BF356/ref=sr_1_28?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-28,B07Q1BF356,QYL,spark plug,62.99,51-100$,144,9071,0.765664210114938,,,2.29,2.1-5pound,10.13 x 6.62 x 3.35 inches,2011-500sq.inch,
ares 11007-5-piece high visibility 3/8-inch drive sae & metric spark plug socket set - heat treated cr-v steel mirror polish sockets with rubber retaining rings - spark plug removal,https://www.amazon.com/ARES-70011-5-Piece-Visibility-8-Inch-Metric/dp/B01ERX4WXQ/ref=sr_1_29?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-29,B01ERX4WXQ,ARES,spark plug,18.92,0-50$,379,7171,0.605289168860569,,,1.39,1.1-2pound,8 x 5.98 x 2.95 inches,101-200sq.inch,Taiwan
ngk spark plug ngk dpr8ea-9 ea 1,https://www.amazon.com/NGK-DPR8EA-9-Standard-Spark-Plug/dp/B000CSGX9C/ref=sr_1_30?dchild=1&keywords=spark+plugs&qid=1633497805&s=automotive&sr=1-30,,NGK,spark plug,3.69,0-50$,446,1646,0.138935430476153,,,,,,,
